L, a, b, x, y
211.06, 67.00, 188.76, 366.26, 388.77
211.01, 66.97, 188.80, 366.27, 388.78
211.04, 67.02, 188.69, 366.27, 388.82
211.03, 67.02, 188.69, 366.27, 388.82
211.02, 67.03, 188.67, 366.26, 388.79
210.95, 66.96, 188.77, 366.25, 388.78
210.87, 67.04, 188.73, 366.23, 388.79
210.91, 66.99, 188.75, 366.25, 388.76
210.91, 66.95, 188.77, 366.31, 388.71
211.25, 67.02, 188.67, 366.27, 388.72
211.25, 67.02, 188.67, 366.27, 388.72
211.25, 67.02, 188.67, 366.27, 388.72
211.25, 67.02, 188.67, 366.27, 388.72
211.25, 67.02, 188.67, 366.27, 388.72
211.25, 67.02, 188.67, 366.27, 388.72
211.25, 67.02, 188.67, 366.27, 388.72
211.25, 67.02, 188.67, 366.27, 388.72
211.25, 67.02, 188.67, 366.27, 388.72
211.26, 67.02, 188.67, 366.27, 388.72
211.29, 67.01, 188.68, 366.29, 388.72
211.29, 67.01, 188.68, 366.29, 388.72
211.27, 67.01, 188.68, 366.29, 388.72
211.22, 67.04, 188.66, 366.30, 388.70
211.30, 67.02, 188.67, 366.29, 388.72
211.30, 67.03, 188.67, 366.29, 388.72
211.29, 66.99, 188.68, 366.29, 388.72
211.20, 67.01, 188.68, 366.28, 388.73
211.21, 67.00, 188.69, 366.29, 388.72
211.22, 67.01, 188.68, 366.29, 388.72
211.25, 67.00, 188.70, 366.29, 388.71
211.31, 66.96, 188.67, 366.29, 388.71
211.35, 66.93, 188.67, 366.28, 388.70
211.36, 66.93, 188.67, 366.28, 388.70
211.35, 66.93, 188.67, 366.28, 388.70
211.54, 66.97, 188.59, 366.30, 388.71
211.43, 66.92, 188.66, 366.27, 388.71
211.42, 66.92, 188.66, 366.27, 388.71
211.42, 66.92, 188.66, 366.27, 388.71
211.65, 66.98, 188.41, 366.29, 388.70
211.15, 66.90, 188.48, 366.31, 388.66
211.15, 66.90, 188.48, 366.31, 388.66
211.15, 66.90, 188.48, 366.31, 388.66
211.18, 66.88, 188.47, 366.33, 388.68
211.17, 66.87, 188.47, 366.33, 388.68
211.10, 66.87, 188.48, 366.35, 388.66
211.10, 66.88, 188.49, 366.32, 388.71
211.09, 66.83, 188.50, 366.36, 388.69
211.09, 66.84, 188.50, 366.36, 388.69
211.12, 66.84, 188.51, 366.37, 388.68
211.09, 66.80, 188.56, 366.37, 388.68
211.05, 66.87, 188.45, 366.36, 388.75
210.98, 66.87, 188.44, 366.38, 388.72
210.96, 66.87, 188.45, 366.39, 388.72
211.02, 66.86, 188.45, 366.38, 388.74
211.05, 66.89, 188.42, 366.38, 388.72
211.12, 66.87, 188.44, 366.36, 388.74
211.07, 66.87, 188.47, 366.38, 388.72
211.15, 66.85, 188.49, 366.35, 388.74
211.08, 66.94, 188.40, 366.38, 388.71
211.26, 66.91, 188.44, 366.36, 388.75
211.30, 66.90, 188.49, 366.35, 388.75
211.22, 66.87, 188.50, 366.35, 388.75
211.25, 66.90, 188.45, 366.33, 388.79
211.26, 66.89, 188.46, 366.33, 388.79
211.38, 66.81, 188.54, 366.33, 388.78
211.34, 66.72, 188.65, 366.30, 388.82
211.33, 66.70, 188.62, 366.32, 388.80
211.32, 66.68, 188.65, 366.32, 388.81
211.18, 66.66, 188.63, 366.32, 388.82
210.83, 66.78, 188.46, 366.38, 388.76
210.83, 66.78, 188.46, 366.38, 388.76
210.83, 66.78, 188.46, 366.38, 388.76
210.83, 66.78, 188.46, 366.38, 388.76
210.83, 66.78, 188.46, 366.38, 388.76
210.83, 66.78, 188.46, 366.38, 388.76
210.83, 66.78, 188.46, 366.38, 388.76
210.83, 66.78, 188.46, 366.38, 388.76
210.83, 66.78, 188.46, 366.38, 388.76
210.84, 66.80, 188.44, 366.38, 388.77
210.84, 66.79, 188.45, 366.38, 388.76
210.89, 66.78, 188.46, 366.39, 388.76
210.91, 66.77, 188.50, 366.41, 388.74
210.89, 66.80, 188.48, 366.40, 388.75
210.84, 66.79, 188.48, 366.39, 388.75
210.86, 66.79, 188.48, 366.39, 388.75
210.85, 66.78, 188.49, 366.39, 388.75
211.01, 66.80, 188.43, 366.38, 388.81
211.08, 66.78, 188.45, 366.36, 388.81
211.05, 66.79, 188.44, 366.37, 388.81
211.06, 66.75, 188.50, 366.36, 388.81
211.12, 66.77, 188.44, 366.37, 388.78
211.08, 66.71, 188.53, 366.34, 388.76
211.08, 66.72, 188.52, 366.34, 388.76
211.08, 66.71, 188.53, 366.34, 388.76
211.13, 66.73, 188.54, 366.42, 388.76
211.11, 66.71, 188.53, 366.42, 388.79
211.12, 66.72, 188.53, 366.42, 388.79
211.11, 66.71, 188.53, 366.42, 388.79
211.10, 66.69, 188.57, 366.32, 388.76
210.83, 66.55, 188.77, 366.31, 388.80
210.83, 66.55, 188.77, 366.31, 388.80
210.83, 66.55, 188.77, 366.31, 388.80
210.81, 66.53, 188.78, 366.33, 388.80
210.80, 66.53, 188.78, 366.33, 388.80
210.90, 66.58, 188.73, 366.32, 388.83
210.81, 66.60, 188.69, 366.35, 388.76
210.66, 66.65, 188.58, 366.35, 388.76
210.73, 66.62, 188.60, 366.34, 388.78
210.75, 66.63, 188.61, 366.34, 388.78
210.75, 66.62, 188.62, 366.34, 388.78
210.77, 66.61, 188.64, 366.32, 388.82
210.76, 66.61, 188.63, 366.32, 388.82
210.69, 66.62, 188.63, 366.34, 388.80
210.77, 66.61, 188.64, 366.32, 388.82
210.86, 66.67, 188.58, 366.34, 388.80
210.86, 66.67, 188.58, 366.34, 388.80
210.73, 66.63, 188.62, 366.35, 388.77
210.73, 66.62, 188.64, 366.35, 388.77
210.81, 66.62, 188.62, 366.36, 388.74
210.80, 66.61, 188.62, 366.36, 388.74
210.93, 66.56, 188.67, 366.39, 388.71
210.92, 66.52, 188.69, 366.40, 388.71
210.99, 66.49, 188.75, 366.40, 388.70
210.99, 66.49, 188.75, 366.40, 388.70
211.00, 66.51, 188.73, 366.40, 388.66
210.91, 66.50, 188.73, 366.40, 388.66
211.08, 66.47, 188.76, 366.38, 388.70
211.12, 66.45, 188.79, 366.40, 388.71
211.09, 66.42, 188.77, 366.40, 388.73
211.00, 66.88, 188.51, 366.28, 388.85
211.00, 66.88, 188.51, 366.28, 388.85
211.00, 66.88, 188.51, 366.28, 388.85
211.00, 66.88, 188.51, 366.28, 388.85
211.00, 66.88, 188.51, 366.28, 388.85
211.03, 66.87, 188.52, 366.28, 388.85
211.03, 66.87, 188.52, 366.28, 388.85
211.03, 66.87, 188.52, 366.28, 388.85
211.03, 66.87, 188.52, 366.28, 388.85
211.07, 66.88, 188.51, 366.28, 388.85
211.06, 66.88, 188.52, 366.28, 388.85
211.05, 66.86, 188.53, 366.29, 388.84
211.04, 66.86, 188.53, 366.29, 388.84
211.06, 66.87, 188.52, 366.29, 388.84
211.07, 66.86, 188.52, 366.29, 388.84
211.09, 66.87, 188.52, 366.29, 388.84
211.08, 66.86, 188.52, 366.29, 388.84
211.15, 66.88, 188.48, 366.29, 388.84
211.10, 66.87, 188.50, 366.31, 388.84
211.11, 66.89, 188.48, 366.31, 388.84
211.11, 66.87, 188.51, 366.29, 388.84
211.31, 66.88, 188.48, 366.26, 388.85
211.13, 66.89, 188.46, 366.29, 388.87
211.13, 66.89, 188.46, 366.29, 388.87
211.13, 66.89, 188.46, 366.29, 388.87
211.02, 66.96, 188.40, 366.31, 388.88
210.98, 66.94, 188.42, 366.31, 388.85
211.08, 66.89, 188.45, 366.34, 388.82
211.07, 66.89, 188.45, 366.34, 388.82
211.32, 66.95, 188.31, 366.35, 388.83
211.20, 66.88, 188.43, 366.29, 388.86
211.20, 66.88, 188.43, 366.29, 388.86
211.20, 66.88, 188.43, 366.29, 388.86
211.16, 66.95, 188.40, 366.34, 388.82
211.16, 66.95, 188.40, 366.34, 388.82
211.11, 66.97, 188.40, 366.33, 388.84
211.06, 66.92, 188.42, 366.32, 388.86
210.92, 66.81, 188.38, 366.36, 388.89
210.92, 66.78, 188.36, 366.37, 388.87
210.91, 66.79, 188.34, 366.38, 388.87
210.93, 66.78, 188.36, 366.37, 388.87
211.03, 66.73, 188.42, 366.40, 388.85
211.02, 66.73, 188.42, 366.40, 388.85
211.03, 66.73, 188.42, 366.40, 388.85
210.98, 66.75, 188.41, 366.39, 388.84
211.00, 66.76, 188.40, 366.41, 388.82
210.99, 66.75, 188.41, 366.40, 388.82
210.94, 66.74, 188.41, 366.38, 388.84
210.95, 66.73, 188.43, 366.39, 388.84
211.15, 66.71, 188.42, 366.36, 388.84
211.15, 66.70, 188.41, 366.36, 388.84
211.06, 66.69, 188.44, 366.36, 388.85
211.05, 66.65, 188.47, 366.36, 388.87
211.15, 66.67, 188.43, 366.36, 388.87
211.15, 66.66, 188.46, 366.35, 388.87
211.15, 66.67, 188.44, 366.36, 388.83
211.27, 66.64, 188.46, 366.35, 388.85
211.21, 66.69, 188.41, 366.37, 388.87
211.24, 66.67, 188.43, 366.39, 388.86
211.33, 66.63, 188.50, 366.38, 388.87
210.73, 66.91, 188.49, 366.13, 389.10
210.71, 66.92, 188.48, 366.13, 389.08
210.73, 66.91, 188.49, 366.13, 389.10
210.73, 66.91, 188.49, 366.13, 389.10
210.73, 66.91, 188.49, 366.13, 389.10
210.74, 66.91, 188.49, 366.13, 389.10
210.75, 66.91, 188.49, 366.13, 389.10
210.72, 66.92, 188.48, 366.13, 389.11
210.76, 66.91, 188.49, 366.13, 389.10
210.73, 66.92, 188.48, 366.13, 389.11
210.72, 66.92, 188.48, 366.13, 389.11
210.72, 66.92, 188.48, 366.13, 389.11
210.75, 66.91, 188.49, 366.13, 389.10
210.79, 66.92, 188.46, 366.13, 389.10
210.81, 66.91, 188.49, 366.14, 389.10
210.83, 66.91, 188.47, 366.14, 389.10
210.81, 66.91, 188.49, 366.14, 389.10
210.79, 66.94, 188.44, 366.17, 389.05
210.78, 66.94, 188.45, 366.17, 389.05
210.78, 66.96, 188.43, 366.17, 389.05
210.86, 66.94, 188.45, 366.15, 389.08
210.91, 66.99, 188.43, 366.14, 389.10
210.88, 66.96, 188.42, 366.16, 389.08
210.89, 66.96, 188.42, 366.16, 389.08
210.87, 66.96, 188.42, 366.16, 389.08
210.92, 66.96, 188.44, 366.18, 389.09
210.90, 66.92, 188.47, 366.18, 389.09
210.80, 66.97, 188.43, 366.17, 389.10
210.84, 66.91, 188.50, 366.16, 389.12
210.96, 66.89, 188.51, 366.14, 389.09
210.92, 66.68, 188.75, 366.17, 389.05
210.92, 66.68, 188.75, 366.17, 389.05
210.92, 66.68, 188.75, 366.17, 389.05
211.14, 66.62, 188.82, 366.17, 389.00
211.13, 66.63, 188.82, 366.17, 389.00
211.15, 66.67, 188.77, 366.17, 388.99
211.10, 66.64, 188.83, 366.17, 388.99
210.97, 66.65, 188.85, 366.18, 388.98
210.99, 66.65, 188.84, 366.19, 388.96
210.97, 66.66, 188.82, 366.18, 388.98
211.06, 66.64, 188.85, 366.17, 388.98
211.02, 66.73, 188.71, 366.25, 388.88
211.09, 66.67, 188.75, 366.24, 388.92
211.13, 66.66, 188.76, 366.24, 388.91
211.12, 66.60, 188.81, 366.24, 388.91
211.15, 66.61, 188.80, 366.24, 388.92
211.15, 66.61, 188.80, 366.24, 388.92
211.12, 66.61, 188.80, 366.23, 388.92
211.05, 66.60, 188.80, 366.22, 388.91
211.07, 66.60, 188.81, 366.25, 388.90
211.07, 66.60, 188.80, 366.25, 388.90
211.07, 66.59, 188.84, 366.24, 388.89
210.91, 66.59, 188.84, 366.23, 388.90
211.01, 66.60, 188.83, 366.23, 388.88
211.01, 66.60, 188.83, 366.23, 388.88
211.05, 66.61, 188.83, 366.23, 388.88
211.07, 66.60, 188.82, 366.22, 388.87
211.11, 66.59, 188.82, 366.22, 388.87
211.13, 66.59, 188.81, 366.22, 388.87
211.09, 66.55, 188.85, 366.23, 388.84
210.67, 66.85, 188.51, 366.41, 388.89
210.67, 66.86, 188.49, 366.41, 388.87
210.68, 66.86, 188.50, 366.41, 388.87
210.68, 66.85, 188.51, 366.41, 388.89
210.68, 66.85, 188.51, 366.41, 388.89
210.68, 66.85, 188.51, 366.41, 388.89
210.68, 66.85, 188.51, 366.41, 388.89
210.68, 66.85, 188.51, 366.41, 388.89
210.68, 66.85, 188.51, 366.41, 388.89
210.69, 66.86, 188.50, 366.41, 388.89
210.67, 66.85, 188.51, 366.41, 388.89
210.67, 66.85, 188.51, 366.41, 388.89
210.70, 66.84, 188.52, 366.41, 388.89
210.85, 66.85, 188.48, 366.42, 388.90
210.82, 66.82, 188.51, 366.41, 388.89
210.83, 66.84, 188.50, 366.41, 388.89
210.86, 66.95, 188.36, 366.36, 389.03
210.99, 66.92, 188.38, 366.24, 389.07
210.83, 67.79, 187.27, 367.03, 389.67
210.80, 67.79, 187.27, 367.03, 389.67
211.43, 67.31, 188.20, 368.76, 390.48
211.46, 67.30, 188.20, 368.76, 390.48
211.08, 68.16, 187.50, 371.62, 392.76
211.08, 68.16, 187.50, 371.62, 392.76
210.64, 67.43, 188.08, 375.52, 395.56
210.69, 67.50, 188.04, 375.52, 395.61
209.90, 69.08, 187.03, 380.94, 399.13
210.12, 68.96, 187.08, 380.94, 399.20
210.03, 68.50, 187.74, 387.91, 403.63
210.03, 68.50, 187.74, 387.91, 403.63
209.88, 68.73, 187.14, 395.92, 408.58
209.88, 68.73, 187.14, 395.92, 408.58
209.58, 68.85, 187.29, 404.57, 414.15
209.54, 68.85, 187.29, 404.57, 414.15
210.29, 69.69, 186.65, 414.51, 419.36
210.22, 69.64, 186.64, 414.48, 419.43
209.49, 69.62, 186.43, 425.01, 425.56
209.51, 69.61, 186.45, 425.03, 425.59
209.98, 69.98, 186.77, 434.90, 431.16
210.14, 69.94, 186.76, 434.94, 431.14
209.82, 70.34, 186.46, 444.92, 436.59
209.82, 70.34, 186.46, 444.92, 436.59
210.68, 70.65, 186.62, 454.14, 441.49
210.68, 70.63, 186.64, 454.10, 441.53
210.91, 69.37, 187.50, 462.82, 445.71
210.96, 69.37, 187.50, 462.83, 445.69
212.10, 69.46, 187.84, 469.12, 449.87
212.11, 69.44, 187.85, 469.13, 449.91
213.11, 68.81, 188.48, 474.63, 453.91
212.98, 68.83, 188.45, 474.69, 453.92
212.57, 69.13, 188.53, 478.85, 456.98
212.66, 68.88, 188.73, 478.83, 457.13
213.13, 68.19, 189.39, 481.88, 459.49
213.13, 68.19, 189.39, 481.88, 459.49
212.45, 68.44, 188.85, 484.20, 461.10
212.68, 68.43, 188.79, 484.21, 461.01
212.38, 68.13, 189.38, 485.51, 462.25
212.33, 68.20, 189.31, 485.51, 462.27
212.56, 68.00, 189.42, 485.85, 462.67
212.51, 67.99, 189.42, 485.82, 462.71
212.58, 67.58, 189.69, 485.81, 462.80
212.62, 67.60, 189.68, 485.78, 462.79
212.55, 67.62, 189.67, 485.80, 462.73
212.66, 67.61, 189.67, 485.80, 462.71
212.50, 67.61, 189.67, 485.81, 462.74
212.52, 67.62, 189.67, 485.81, 462.74
212.58, 68.88, 188.33, 486.50, 463.43
212.58, 68.88, 188.33, 486.50, 463.43
213.51, 68.15, 189.23, 487.99, 465.30
213.52, 68.13, 189.24, 487.99, 465.30
213.70, 68.74, 188.71, 490.34, 469.44
213.78, 68.72, 188.71, 490.35, 469.43
213.66, 68.77, 189.10, 494.25, 474.75
213.67, 68.78, 189.10, 494.25, 474.75
212.68, 69.64, 188.33, 499.12, 481.72
212.72, 69.59, 188.39, 499.03, 481.87
212.60, 69.67, 188.82, 504.85, 489.25
212.60, 69.67, 188.79, 504.83, 489.25
212.01, 69.97, 188.29, 511.54, 497.37
212.01, 69.99, 188.28, 511.54, 497.37
211.92, 69.50, 188.72, 517.42, 505.18
211.98, 69.49, 188.74, 517.40, 505.17
210.92, 70.16, 188.30, 522.66, 512.13
210.95, 70.13, 188.34, 522.71, 512.13
210.92, 69.25, 188.96, 527.45, 517.88
210.92, 69.25, 188.96, 527.45, 517.88
210.73, 69.08, 188.87, 531.29, 522.89
210.63, 69.10, 188.89, 531.27, 522.85
210.46, 68.33, 189.69, 534.46, 527.06
210.46, 68.33, 189.69, 534.46, 527.06
210.72, 68.34, 189.59, 536.54, 530.23
210.72, 68.34, 189.59, 536.54, 530.23
210.10, 68.07, 189.68, 538.47, 532.10
210.09, 68.09, 189.67, 538.47, 532.10
209.90, 68.28, 189.33, 539.23, 533.67
209.89, 68.26, 189.34, 539.24, 533.69
210.01, 67.85, 189.75, 540.07, 533.95
209.99, 67.85, 189.75, 540.07, 533.95
210.04, 68.36, 189.22, 540.20, 534.41
210.02, 68.35, 189.21, 540.19, 534.44
210.06, 67.74, 189.72, 541.79, 535.97
210.05, 67.74, 189.72, 541.79, 535.97
209.30, 68.35, 189.21, 543.62, 538.91
209.29, 68.38, 189.22, 543.59, 538.90
208.32, 68.30, 189.22, 547.01, 542.93
208.35, 68.32, 189.22, 547.00, 542.93
207.00, 69.17, 188.30, 551.63, 547.70
206.95, 69.20, 188.28, 551.63, 547.70
205.71, 68.99, 188.75, 556.90, 553.95
205.71, 69.03, 188.71, 556.92, 553.95
205.08, 69.24, 188.09, 563.12, 560.45
205.15, 69.23, 188.12, 563.16, 560.44
204.93, 68.42, 188.74, 569.11, 567.13
204.93, 68.43, 188.74, 569.11, 567.13
204.37, 68.95, 188.19, 574.32, 572.64
204.37, 68.93, 188.18, 574.37, 572.64
203.68, 68.00, 189.27, 578.71, 577.82
203.66, 67.99, 189.28, 578.69, 577.84
203.46, 67.71, 189.32, 582.31, 581.61
203.46, 67.71, 189.32, 582.31, 581.61
202.82, 67.41, 189.73, 584.93, 584.73
202.82, 67.41, 189.73, 584.93, 584.73
202.34, 68.11, 189.28, 586.75, 586.69
202.33, 68.11, 189.27, 586.75, 586.69
202.26, 67.70, 189.51, 588.20, 587.89
202.31, 67.71, 189.51, 588.20, 587.90
200.21, 69.30, 188.14, 590.31, 588.79
200.16, 69.34, 188.10, 590.27, 588.82
198.68, 69.37, 187.92, 593.19, 589.46
198.68, 69.37, 187.92, 593.19, 589.46
197.24, 70.05, 187.12, 595.82, 589.26
197.28, 70.06, 187.10, 595.82, 589.25
197.42, 69.53, 187.61, 597.96, 588.99
197.52, 69.51, 187.63, 597.94, 588.99
197.74, 69.82, 187.03, 599.02, 588.96
197.69, 69.87, 186.97, 599.04, 588.88
197.83, 69.82, 187.04, 599.07, 588.98
197.89, 69.80, 186.93, 599.03, 589.01
197.51, 69.77, 186.94, 598.92, 588.97
197.49, 69.78, 186.95, 598.88, 589.02
197.54, 69.75, 186.97, 598.83, 588.99
197.65, 69.85, 186.85, 598.89, 588.96
197.44, 69.83, 186.88, 598.91, 589.03
197.43, 69.85, 186.84, 598.93, 589.02
197.68, 69.70, 187.00, 598.92, 589.05
197.69, 69.72, 186.98, 598.92, 589.00
198.45, 69.39, 187.35, 597.90, 589.67
198.52, 69.37, 187.37, 597.89, 589.67
198.50, 68.86, 188.31, 597.60, 590.44
198.50, 68.86, 188.31, 597.60, 590.44
198.46, 68.76, 188.16, 597.29, 591.29
198.50, 68.75, 188.17, 597.29, 591.29
198.42, 68.87, 188.20, 597.11, 591.32
198.63, 68.85, 188.22, 597.10, 591.29
198.76, 68.63, 188.38, 597.09, 591.37
198.75, 68.64, 188.37, 597.10, 591.38
198.75, 68.63, 188.37, 597.09, 591.39
198.70, 68.63, 188.34, 597.06, 591.46
198.64, 68.60, 188.37, 597.03, 591.48
198.63, 68.58, 188.37, 596.99, 591.50
198.50, 68.52, 188.46, 597.04, 591.50
198.80, 68.46, 188.55, 596.99, 591.52
198.90, 68.40, 188.63, 596.97, 591.54
198.97, 68.36, 188.65, 596.99, 591.52
198.75, 68.31, 188.70, 597.02, 591.50
198.81, 68.37, 188.65, 597.05, 591.49
198.74, 68.37, 188.66, 597.04, 591.49
198.68, 68.38, 188.67, 597.10, 591.44
198.57, 68.30, 188.71, 597.13, 591.44
198.56, 68.39, 188.62, 597.12, 591.42
198.52, 68.41, 188.59, 597.14, 591.41
198.76, 68.30, 188.65, 597.12, 591.48
198.40, 68.27, 188.69, 597.19, 591.42
198.56, 68.30, 188.68, 597.17, 591.39
198.51, 68.32, 188.65, 597.15, 591.42
198.59, 68.32, 188.64, 597.15, 591.43
198.57, 68.26, 188.72, 597.13, 591.42
198.60, 68.22, 188.72, 597.12, 591.41
198.54, 68.15, 188.75, 597.09, 591.41
198.56, 68.11, 188.79, 597.09, 591.42
197.92, 68.09, 188.64, 597.16, 591.33
197.93, 68.11, 188.63, 597.16, 591.33
197.95, 68.13, 188.60, 597.19, 591.32
